Garage_Cars,Year_Built,Total_Bsmt_SF,Wood_Deck_SF,No_Fireplace,Lot_Area,Second_Flr_SF,Garage_Area,Longitude,Bsmt_Unf_SF
2,1982,816,0,1,6600,0,816,-93.603916,0
3,2006,1732,0,0,15306,0,712,-93.653109,1652
1,1983,816,315,1,6490,0,264,-93.6051072,282
0,1920,931,0,0,5400,0,0,-93.613969,931
2,1937,907,0,1,5925,0,672,-93.60685699999999,739
0,1895,957,0,1,8250,957,0,-93.616969,957
1,1920,290,0,1,8400,0,246,-93.651786,0
2,2007,1338,0,1,8640,0,598,-93.650341,1314
2,1970,630,0,1,2016,672,440,-93.629777,630
1,1958,792,0,1,5470,0,366,-93.6146206,792
2,1935,608,0,0,9670,890,786,-93.64108399999999,398
4,1880,1240,181,0,11700,1320,864,-93.612245,1240
3,2007,1582,178,0,10562,551,789,-93.650917,294
2,1962,0,0,1,9842,0,462,-93.621368,0
1,1949,768,0,0,11409,568,281,-93.66104,476
3,2007,1705,208,0,10637,0,826,-93.688859,417
2,1971,768,138,1,8425,0,576,-93.678149,20
2,1970,1277,0,0,10628,0,526,-93.618503,499
2,1998,1649,0,1,12137,0,598,-93.682686,1649
2,2004,970,0,1,2522,739,380,-93.66996,970
2,1955,864,0,1,8172,0,572,-93.66345799999999,697
2,1977,1126,295,0,17400,0,484,-93.6086884,190
0,2006,1143,0,1,7500,0,0,-93.692245,1143
1,1953,1040,0,1,7942,0,293,-93.61842800000001,0
2,1971,1232,0,0,16500,0,495,-93.627416,270
0,1910,840,0,1,9045,1128,0,-93.608878,840
3,1935,666,0,1,21281,1778,1200,-93.615616,666
0,1925,864,0,1,5604,0,0,-93.656681,396
2,2004,600,0,1,3215,600,480,-93.645599,320
3,2007,895,196,0,12568,923,774,-93.65059699999999,226
1,1967,864,0,1,7130,0,312,-93.62890300000001,216
2,1969,1851,0,0,11727,0,506,-93.617432,1851
3,2008,2271,0,0,11778,0,1348,-93.68698,186
2,1910,264,270,1,9600,664,360,-93.616988,264
2,1978,672,0,0,7844,728,440,-93.672278,463
2,2003,1337,0,1,8450,0,531,-93.686903,638
1,1971,525,0,1,1680,567,264,-93.62728,525
1,1952,980,0,1,6420,0,308,-93.660187,219
2,1910,560,0,1,7200,760,624,-93.613899,560
1,1958,1240,289,0,9600,0,338,-93.614751,0
1,1956,0,0,1,12702,0,308,-93.604486,0
1,1962,1092,0,0,11616,0,288,-93.666432,252
2,1994,832,144,1,14565,825,483,-93.689801,295
2,1984,585,268,0,12090,728,477,-93.637876,585
2,1964,816,0,0,9500,850,540,-93.625632,374
2,2007,768,100,1,15810,728,572,-93.646937,768
2,2003,1405,136,0,3242,0,478,-93.65060799999999,405
2,2005,1734,160,1,11645,0,660,-93.68906700000001,434
3,2003,1896,208,0,12378,0,708,-93.643412,622
3,2008,1858,0,0,10110,0,870,-93.654187,1486
1,1984,864,140,1,10447,0,288,-93.604858,348
3,2010,1856,113,0,11394,0,834,-93.628804,411
0,1924,784,0,1,6130,0,0,-93.62471500000001,0
2,1995,781,413,0,12438,704,473,-93.68830200000001,781
2,1978,804,108,0,2364,744,440,-93.625688,484
1,1955,816,121,1,16466,521,300,-93.66345,816
2,1958,1312,0,0,11355,0,495,-93.605189,675
2,1984,1208,108,1,14145,0,440,-93.638026,995
1,1972,483,0,1,1680,504,288,-93.629456,79
0,1941,693,0,1,4118,0,0,-93.622624,693
1,1959,1019,0,0,11512,0,312,-93.666147,300
1,1977,876,0,1,16300,0,308,-93.684837,399
3,2000,1440,253,0,11050,677,736,-93.682983,536
0,1958,858,117,1,7207,0,0,-93.629287,162
2,2009,1470,0,0,4403,0,484,-93.64688790000001,892
3,1957,1040,0,0,9450,0,768,-93.622635,265
1,1966,1228,0,1,8544,0,271,-93.669465,1228
2,1966,1127,0,1,9020,0,490,-93.6277409,276
1,1970,546,0,1,1894,546,286,-93.602345,294
2,2009,1300,135,1,8640,0,552,-93.650377,364
3,2006,1528,204,0,18062,1862,758,-93.62933699999999,1528
2,2009,756,169,1,8640,783,614,-93.650318,732
1,1977,264,141,0,2665,688,336,-93.604391,264
2,1999,729,0,1,3230,729,440,-93.644205,348
1,1959,960,144,1,6400,0,392,-93.665737,52
1,1927,520,49,1,6324,0,240,-93.624471,520
1,1932,793,0,1,4500,672,281,-93.652027,611
1,1923,624,0,1,8520,0,287,-93.606788,624
2,1962,988,0,1,9100,0,624,-93.67416700000001,952
1,1997,569,0,0,8314,840,434,-93.643373,569
2,1994,712,143,0,10832,809,409,-93.636798,712
2,1999,994,140,0,7500,776,442,-93.63906800000001,994
2,1962,1319,0,0,8400,0,462,-93.61699159999999,1319
1,1970,483,0,1,1869,504,280,-93.629462,162
2,2002,1010,120,0,8068,1257,390,-93.643312,1010
2,1998,952,0,0,7500,684,440,-93.63906899999999,476
2,2009,1212,100,1,10420,0,460,-93.66588759999999,1176
1,1920,637,0,1,11040,439,570,-93.615307,0
2,1963,780,0,0,7056,813,483,-93.604986,380
3,2005,1498,144,0,11645,0,844,-93.689066,1474
3,2004,1158,193,0,10625,1285,744,-93.641233,1158
3,2005,1552,144,1,10084,0,782,-93.684116,1528
1,1947,720,0,1,3500,564,240,-93.61786790000001,408
1,1982,816,168,1,8314,0,264,-93.604146,270
1,1918,912,0,0,7642,514,216,-93.6447083,912
2,1997,964,0,0,13006,1243,642,-93.63787099999999,964
2,2005,1560,196,0,5911,0,556,-93.654138,1088
2,1996,1491,0,0,7777,0,571,-93.64663399999999,1491
2,2007,1838,154,0,11422,0,524,-93.690364,479
2,1976,848,0,0,12046,912,551,-93.631528,692
2,1968,894,0,0,8724,0,450,-93.676681,402
2,1977,1243,375,0,9620,0,473,-93.602823,564
1,1970,630,0,1,1526,0,286,-93.60347900000001,115
3,1981,1842,857,0,50271,0,894,-93.658237,32
1,1962,621,0,1,9360,648,280,-93.66526,297
2,1971,1010,0,1,8816,0,440,-93.682138,506
1,1915,806,0,1,6858,806,216,-93.655653,806
2,1994,990,168,1,9750,0,528,-93.692009,268
2,1920,915,0,0,8731,0,495,-93.627605,270
2,1985,741,192,0,9206,755,476,-93.685001,741
0,1940,1580,0,0,19550,0,0,-93.663123,545
0,1975,945,0,1,9400,0,0,-93.67554799999999,0
2,1893,1237,105,0,13500,1254,880,-93.610008,1237
2,1996,799,158,0,10667,834,550,-93.690401,70
1,1910,771,14,1,10320,504,264,-93.623814,771
1,1969,1104,160,0,13384,0,336,-93.600439,641
2,1910,677,0,1,9600,677,720,-93.61705400000001,677
1,1967,936,405,0,9825,0,384,-93.677545,0
2,1996,821,286,0,9783,955,443,-93.63637800000001,821
1,1956,1005,0,0,11050,0,319,-93.613491,517
2,1974,1053,0,0,10625,0,528,-93.636372,0
2,2005,1220,100,0,3182,0,397,-93.642911,1204
2,1956,1073,0,0,14115,0,470,-93.642884,230
2,2005,1494,192,0,8251,0,672,-93.642197,716
1,1972,796,138,1,7689,0,336,-93.601127,0
2,1960,1138,0,0,15312,0,480,-93.666813,550
1,1956,1058,191,0,10000,0,300,-93.615882,99
2,1988,1151,0,0,10029,896,521,-93.674582,320
1,1923,1124,0,0,6120,0,288,-93.620409,164
1,1940,901,0,0,12400,592,410,-93.64048000000001,299
2,1968,832,0,0,9900,880,486,-93.625799,280
2,1900,712,264,1,6451,580,576,-93.619513,504
2,1984,1003,120,1,7937,0,588,-93.604776,184
2,1977,660,138,0,8197,0,528,-93.672119,660
1,1953,1008,0,1,8923,0,240,-93.617075,365
2,1974,896,0,1,9000,896,480,-93.626544,896
1,1968,1113,81,1,17979,0,257,-93.601444,328
2,1954,988,0,1,21750,0,520,-93.610109,988
2,1996,672,100,0,10541,735,472,-93.682175,672
2,1972,1124,202,0,11358,0,515,-93.63155400000001,778
2,2002,1431,144,1,10739,0,577,-93.691672,172
0,1961,1800,0,1,8513,0,0,-93.6071073,1800
3,1990,2158,84,0,14684,0,701,-93.68341,1496
1,1945,747,0,1,4608,0,220,-93.615431,747
3,2005,1026,154,0,10625,932,936,-93.640924,1026
2,1957,1478,114,0,8400,0,442,-93.61864,628
2,1939,798,0,0,15660,817,431,-93.643378,457
2,1984,864,0,1,12395,0,484,-93.60372199999999,217
2,2005,756,0,1,8125,797,615,-93.642309,756
2,1980,716,161,0,1950,840,452,-93.64574300000001,23
2,1976,1015,127,0,8660,0,370,-93.686678,513
2,1910,728,509,1,11414,883,532,-93.625362,728
2,1956,894,0,0,7450,0,396,-93.621344,250
2,1939,793,0,0,7800,325,410,-93.62043299999999,286
3,2000,1107,210,0,10125,1012,642,-93.606944,412
1,1956,928,261,1,13300,0,252,-93.612252,551
0,1925,936,0,1,7288,665,0,-93.59700500000001,936
3,2006,1574,144,0,11957,0,824,-93.64233399999999,1550
2,1969,1198,120,1,12900,0,400,-93.666954,0
3,1995,1930,361,0,35760,1796,807,-93.65785100000001,543
2,1966,832,133,1,12205,1111,444,-93.6825099,264
2,2005,1270,0,1,7242,0,524,-93.68988399999999,1270
1,1920,972,0,1,5400,0,207,-93.608707,972
2,1967,1372,0,0,9790,0,457,-93.625775,491
2,1958,819,0,0,14375,0,525,-93.64978,354
3,2009,1590,144,0,12858,707,751,-93.653201,1590
2,1952,540,0,1,8712,0,504,-93.608271,540
1,1931,884,0,0,6240,408,560,-93.62240200000001,459
1,1959,1040,0,1,7500,0,286,-93.605968,466
1,1916,815,0,0,8850,875,225,-93.615337,815
1,1967,1052,0,0,11625,0,668,-93.67338199999999,525
2,1975,1621,0,0,9373,0,478,-93.632915,120
2,1905,482,0,0,10800,691,672,-93.612239,482
2,2006,1293,216,0,7200,0,572,-93.643977,1293
2,2003,1053,140,0,9375,939,648,-93.64119000000001,1053
3,2006,698,0,0,9729,1048,350,-93.64441500000001,698
2,1997,926,0,0,8702,678,470,-93.639062,220
2,1935,1836,684,0,19800,1836,836,-93.660664,1411
3,2007,2078,188,0,14803,0,1220,-93.652941,442
0,1912,755,0,1,5520,929,0,-93.621635,755
1,1927,1204,0,1,5160,462,384,-93.6250433,1204
0,1946,1598,122,0,18030,971,0,-93.656124,977
2,1970,882,240,1,8400,0,525,-93.627112,0
0,1985,833,0,1,8780,0,0,-93.60386700000001,208
2,1974,1208,296,0,15410,0,461,-93.66067199999999,223
2,2006,1342,0,0,6240,0,550,-93.6514243,1318
3,2006,1700,216,0,12456,0,786,-93.658877,528
1,1930,713,0,1,10410,0,371,-93.6143498,713
2,1960,1602,409,0,13500,0,564,-93.666979,93
2,1972,894,256,1,9800,0,552,-93.683246,0
3,2006,1802,158,0,13615,0,843,-93.657492,1802
1,1948,972,0,0,8000,0,240,-93.617182,292
2,1993,812,168,0,14171,1099,453,-93.68203199999999,457
2,2000,915,0,0,9487,750,442,-93.641323,395
0,2007,1120,0,1,8402,0,0,-93.610102,914
2,1998,1086,208,0,12011,838,592,-93.65227,130
2,2006,625,0,1,4017,625,625,-93.646063,625
1,1939,608,0,1,6000,524,240,-93.624566,144
2,1998,1425,0,1,8685,0,591,-93.690363,579
2,2003,847,0,0,7875,1101,434,-93.64021,847
2,1978,855,28,0,2289,586,440,-93.62569,544
3,2007,2418,358,0,13693,0,650,-93.657832,195
1,1922,498,0,1,8088,0,216,-93.65904300000001,498
2,1968,1040,188,1,7476,0,686,-93.672318,228
1,1953,608,66,1,10634,0,270,-93.6190376,0
2,1976,392,0,0,9600,1012,527,-93.645546,392
3,1999,1393,668,0,14774,1177,779,-93.651381,1393
1,1948,570,135,0,5190,462,249,-93.66515,570
2,1960,1175,0,1,7635,0,484,-93.60674200000001,237
1,1947,756,0,0,9350,0,209,-93.66526,564
2,1926,600,0,1,5825,0,528,-93.62925600000001,600
1,1920,1008,0,1,8239,185,315,-93.61046800000001,832
2,1968,1392,0,0,13560,0,576,-93.614216,1392
0,2004,1158,0,1,7500,0,0,-93.692472,1158
4,1993,946,450,0,12361,838,1017,-93.683167,86
2,2005,1721,168,1,9254,0,554,-93.65045,1602
2,1920,698,30,1,7500,430,528,-93.61527199999999,698
3,2006,1976,250,0,14977,0,908,-93.657524,626
2,2006,1199,105,1,7406,0,632,-93.690366,515
1,1955,768,0,0,8172,0,355,-93.66346,224
0,1910,600,0,1,5925,368,0,-93.606841,600
2,1976,1444,0,0,10400,0,473,-93.635216,1444
2,2002,1128,0,0,9473,903,577,-93.68770400000001,324
2,1949,0,0,1,8777,0,520,-93.67830500000001,0
2,1923,678,0,0,9656,0,780,-93.606789,678
1,1900,448,0,1,7008,272,280,-93.612239,448
2,2007,1234,0,1,11049,0,484,-93.684343,1234
2,1985,1298,165,0,11200,0,403,-93.685537,40
5,1925,1072,0,1,8635,0,1184,-93.6213592,938
3,2005,1910,351,0,18261,0,722,-93.62826899999999,494
3,2006,1738,0,0,16387,851,831,-93.658413,369
2,1972,768,58,1,8445,0,396,-93.68351,112
0,1912,780,0,1,5687,780,0,-93.655851,570
2,1948,0,120,0,14762,720,672,-93.62201479999999,0
3,2005,1922,178,0,14157,0,676,-93.62901600000001,673
2,1964,1248,176,1,9020,0,520,-93.626171,288
3,2006,1588,144,0,10000,0,825,-93.642344,1588
2,1963,1000,238,0,13050,0,575,-93.667082,46
2,1962,1595,0,0,33120,875,576,-93.622773,1595
1,1961,920,0,1,8700,0,240,-93.609148,728
2,1961,1313,172,0,9350,0,610,-93.628658,491
2,1976,1565,0,0,15498,0,665,-93.65022900000001,0
2,1953,1152,0,1,9373,0,636,-93.61708399999999,456
0,1922,796,0,1,3636,0,0,-93.625291,796
2,2004,1256,146,0,3182,0,430,-93.642252,1232
2,1961,988,0,1,9945,0,572,-93.673518,161
1,1937,942,0,0,11700,673,240,-93.63962,336
2,1980,738,28,0,10400,767,489,-93.635153,738
2,1999,691,0,1,3768,739,506,-93.645482,142
2,1976,1090,0,0,10400,0,479,-93.634694,1090
1,1953,1057,0,1,7922,0,246,-93.61842800000001,326
1,1954,381,60,1,8842,0,319,-93.677482,381
1,1955,1078,0,1,9600,0,288,-93.623704,710
2,2004,976,0,1,3363,732,380,-93.669924,976
2,2006,1092,0,1,8125,438,438,-93.64247399999999,280
1,1900,861,0,1,8405,406,384,-93.6644616,229
1,1934,715,0,0,11988,811,240,-93.641405,389
2,2003,1390,0,1,8810,0,545,-93.68768399999999,390
2,2002,1284,192,0,9375,885,647,-93.686575,1284
1,1948,1027,0,0,11851,606,240,-93.610466,247
1,1901,592,0,1,5680,240,240,-93.622147,592
0,1916,686,0,1,7082,980,0,-93.648562,686
2,2004,1375,144,0,3072,0,398,-93.64132099999999,1375
1,1925,768,0,1,6120,0,450,-93.624553,279
2,2006,1660,322,0,10182,0,500,-93.641793,440
1,1954,854,0,1,7200,424,240,-93.608903,181
4,1953,0,483,1,43500,0,1041,-93.610118,0
1,1910,356,0,1,5150,378,195,-93.616849,356
2,2004,1391,156,1,4282,0,530,-93.647488,1375
2,2006,1604,123,0,8814,0,660,-93.689071,270
1,1910,1242,64,1,8094,742,360,-93.62167600000001,1046
2,2007,1350,192,0,7301,0,484,-93.649587,474
2,1938,861,225,0,6240,548,528,-93.623631,809
2,1890,1313,0,0,10800,1182,342,-93.60755209999999,1313
1,1925,572,0,1,10200,0,200,-93.61539499999999,572
2,1961,944,144,1,12122,0,588,-93.624499,77
3,1994,2444,382,0,21535,1872,832,-93.657271,989
3,1949,1001,0,1,6270,1001,871,-93.643215,717
2,2004,1158,0,1,13072,0,576,-93.69095899999999,217
2,1955,1056,264,1,34650,0,572,-93.625169,0
1,1921,629,0,1,9140,380,625,-93.626689,321
1,1924,1107,0,0,4853,0,260,-93.655762,974
1,1962,912,0,1,7150,0,252,-93.669845,182
2,1971,1587,0,0,10667,0,525,-93.618504,749
2,1987,1501,240,0,4054,0,512,-93.63965999999999,552
2,1980,516,279,0,1733,516,452,-93.64574300000001,516
2,2007,738,0,1,8145,738,552,-93.68411800000001,738
1,1905,738,0,1,7614,662,216,-93.613905,738
1,1915,698,0,1,8730,698,384,-93.625284,698
2,2006,1422,297,0,9139,0,492,-93.64236,1043
2,2005,1358,192,0,6904,0,484,-93.64977900000001,522
2,1992,384,100,0,9125,670,392,-93.637917,384
2,1964,1921,0,1,11136,0,576,-93.65565,1921
2,1929,792,0,0,11435,725,400,-93.642431,792
2,2007,1710,156,0,8118,0,557,-93.629808,676
2,2006,738,0,1,10237,754,440,-93.645774,738
2,1966,864,0,0,10710,0,656,-93.626521,220
1,1956,832,0,1,8382,505,263,-93.613624,832
1,1962,894,0,1,6600,0,308,-93.603701,894
2,2009,1508,0,0,17485,0,572,-93.66579899999999,162
2,1960,1478,0,0,17600,0,498,-93.606573,208
2,1900,780,0,1,9600,476,400,-93.617139,399
2,2006,1554,156,0,4590,0,627,-93.64931899999999,1530
3,2006,1504,184,0,10872,0,700,-93.65476,467
1,1940,672,0,1,4800,0,256,-93.616991,672
2,1978,940,0,1,10970,0,576,-93.685158,0
0,1905,572,240,1,6000,656,0,-93.616998,572
2,1995,930,275,0,11250,1045,610,-93.679803,245
0,1960,1556,0,1,8512,0,0,-93.606892,1556
1,1973,462,0,0,1596,462,297,-93.60426899999999,25
0,2007,1092,0,1,9278,0,0,-93.61014499999999,1092
1,1968,896,0,0,13000,960,509,-93.61461899999999,448
2,1959,0,0,0,11650,0,484,-93.605384,0
2,2006,654,100,0,17104,832,426,-93.644411,100
3,2006,1234,324,0,12438,1312,666,-93.62876999999999,1234
2,2008,6110,214,0,63887,950,1418,-93.674898,466
2,1976,793,0,0,12384,793,550,-93.633898,793
1,1959,1206,0,1,10725,0,312,-93.61513000000001,270
1,1949,0,0,0,11800,0,384,-93.6051157,0
2,1960,1144,216,0,14585,0,572,-93.624484,331
2,1978,1226,133,0,3876,0,484,-93.64932900000001,48
2,1972,385,352,1,7200,0,728,-93.68316899999999,0
3,2003,1572,400,0,13688,1096,726,-93.65572,556
2,1976,1029,144,0,7819,0,672,-93.675175,480
2,1957,1134,0,0,13125,0,484,-93.66550500000001,284
2,1980,1036,133,0,3640,0,484,-93.649439,176
2,1999,1468,120,1,9382,0,577,-93.68901899999999,1468
2,1993,1079,400,0,10560,800,473,-93.682025,605
1,1971,864,0,1,6953,0,352,-93.601449,395
2,1960,1105,0,1,11600,1169,480,-93.6184183,662
1,1972,780,196,1,7200,0,352,-93.683309,148
2,2000,982,100,0,8123,793,463,-93.641377,982
1,1939,992,0,0,10164,473,240,-93.648415,346
2,1956,1898,0,0,26073,0,484,-93.640311,782
2,1977,908,321,0,13774,972,520,-93.637964,476
2,2003,783,0,0,7875,702,393,-93.640211,783
3,2007,1566,0,0,14230,0,890,-93.654241,1566
3,1993,1733,870,0,17242,1567,959,-93.655997,48
0,1922,864,0,1,4060,0,0,-93.659191,864
1,1956,0,0,1,8626,0,331,-93.60417650000001,0
2,1979,780,192,0,11339,845,481,-93.634665,22
2,1976,1142,0,0,8963,1540,831,-93.630152,487
3,2004,2000,168,1,10386,0,888,-93.68785600000001,536
1,1955,1098,0,1,7390,0,260,-93.61717900000001,196
2,1996,1720,240,0,10593,0,527,-93.654206,801
1,1969,1096,240,1,15870,0,299,-93.62626,230
2,1978,1271,0,0,11880,0,478,-93.637289,567
2,2000,982,108,0,8220,884,431,-93.642397,438
2,1999,873,0,1,9179,908,588,-93.690113,240
2,1900,760,467,1,8660,928,576,-93.626839,760
2,1967,1829,0,1,10456,0,535,-93.633351,1323
1,1955,1162,142,1,5820,0,220,-93.607744,906
2,2006,1342,0,0,6240,0,550,-93.651163,496
3,2003,2535,154,0,12720,0,789,-93.65695799999999,278
2,2002,916,146,1,13450,941,492,-93.68923000000001,216
2,1997,1479,168,1,9236,0,576,-93.69222099999999,279
3,2003,1008,120,0,11792,1275,632,-93.639915,158
0,1940,728,263,1,5350,0,0,-93.629313,728
4,2000,1168,312,0,11855,1619,820,-93.679856,348
2,2006,1550,0,1,5330,0,528,-93.64660699999999,1550
1,1954,1056,0,1,9920,0,280,-93.62475,412
1,1972,630,185,1,1680,672,264,-93.62988100000001,399
1,1920,592,0,1,9000,432,216,-93.60419300000001,592
1,1964,1251,0,0,8800,0,461,-93.626765,698
2,1910,676,147,1,8777,676,528,-93.678267,166
2,1965,768,0,0,13600,800,486,-93.615558,314
2,1999,840,176,0,9468,915,530,-93.684421,201
1,1959,0,0,1,8339,0,294,-93.62232,0
1,1966,912,204,1,8169,0,315,-93.668544,261
3,2006,1466,125,0,9965,1362,1052,-93.686941,316
1,1920,624,0,1,5350,720,288,-93.620183,508
2,2005,768,100,0,10237,768,400,-93.646429,768
2,1999,1037,144,0,12460,1285,400,-93.64134200000001,167
