Sale_Price,Garage_Cars,Year_Built,Total_Bsmt_SF,Wood_Deck_SF,No_Fireplace,Lot_Area,Second_Flr_SF,Garage_Area,Longitude,Bsmt_Unf_SF
260400,2,1996,1720,240,0,10593,0,527,-93.654206,801
325000,2,1994,1463,186,0,12256,1122,712,-93.653616,431
290000,3,1999,1152,132,0,11764,1106,671,-93.650356,628
221000,2,1998,1195,0,1,16770,644,486,-93.650578,1195
410000,3,1995,2033,283,0,14720,1185,666,-93.65297199999999,1217
221500,3,2005,1595,144,0,8987,0,880,-93.642368,1595
204500,2,2009,1218,0,1,9215,0,676,-93.649976,1218
215200,2,2009,756,169,1,8640,783,614,-93.650318,732
262500,2,2008,1566,144,1,9000,0,750,-93.64710500000001,488
254900,2,2004,991,0,0,12552,956,678,-93.64277299999999,769
271500,2,2005,1468,0,0,10440,0,528,-93.642224,54
233000,2,2004,956,0,1,10142,1128,618,-93.692309,300
181000,2,2004,831,144,1,11920,828,484,-93.692412,831
205000,2,1994,948,0,0,8880,888,463,-93.68981,253
143000,1,1980,923,80,0,8012,0,264,-93.686417,261
189000,2,1992,1055,635,0,11218,790,462,-93.687694,1055
99500,1,1979,918,28,0,7892,0,264,-93.686263,918
125000,1,1984,744,353,1,7175,0,264,-93.68626400000001,0
194500,2,1993,996,370,1,9453,730,457,-93.68628000000001,594
152000,2,1984,1040,0,1,9672,0,480,-93.685028,702
171000,2,1980,650,0,0,8400,676,476,-93.685029,650
67500,1,1920,816,121,1,9800,0,429,-93.6790694,816
112000,2,1978,0,0,1,8930,584,539,-93.677205,0
148000,2,1961,1109,192,1,11782,0,576,-93.67366899999999,210
138500,1,1965,894,416,0,8450,0,336,-93.670956,224
122000,1,1967,882,0,1,9819,0,280,-93.672096,432
133000,1,1963,1040,0,1,7500,0,308,-93.672067,216
127000,1,1962,1040,0,1,6897,0,260,-93.669688,381
169000,2,1974,1208,296,0,15410,0,461,-93.66067199999999,223
190000,2,1992,750,240,0,10186,862,564,-93.646749,76
362500,3,1993,1231,32,0,13143,1098,762,-93.65177299999999,0
285000,3,1992,1390,198,0,11134,823,713,-93.652773,261
260000,2,2004,1488,168,0,4835,0,506,-93.647988,190
190000,2,2004,840,0,1,3515,840,588,-93.64614,840
155000,2,2004,600,0,1,3215,600,480,-93.645599,320
151000,2,2004,600,0,1,3182,600,480,-93.644889,600
149500,2,2004,600,0,1,2544,600,480,-93.644889,190
152000,2,2005,600,0,1,2544,636,480,-93.64489,224
222000,2,2009,1470,0,0,4403,0,484,-93.64688790000001,892
177500,2,2000,756,0,1,2117,804,440,-93.645606,378
177000,2,2000,756,0,1,2980,756,440,-93.645585,290
155000,2,1999,696,0,1,2572,720,484,-93.645482,92
147110,2,2003,530,0,1,2403,550,496,-93.645478,286
267916,3,2010,1642,160,0,12853,0,852,-93.641253,610
254000,2,2000,975,280,0,7379,873,592,-93.643556,491
155000,2,1980,728,133,0,4420,0,484,-93.649361,0
206000,2,1978,1226,223,0,3880,0,484,-93.648143,174
130500,2,1976,725,0,1,13517,754,475,-93.65921,192
230000,2,2002,1492,277,0,8000,0,596,-93.639516,659
218500,2,1967,1829,0,1,10456,0,535,-93.633351,1323
243500,2,1993,1280,224,0,10791,1215,660,-93.63687900000001,143
205000,2,1977,1610,168,0,10603,0,480,-93.637463,410
212500,2,1978,1224,0,0,18837,604,678,-93.63753100000001,491
196500,2,1988,980,228,0,10421,734,496,-93.637788,586
197500,2,1972,1161,0,0,9360,0,676,-93.631435,179
171000,2,1971,715,0,1,9600,715,441,-93.632554,386
142250,2,1966,1232,0,1,9600,0,490,-93.626137,534
143000,2,1963,1328,0,0,9790,0,528,-93.625926,678
128950,0,1959,950,352,1,9320,0,0,-93.62338299999999,381
159000,2,1966,1209,0,1,9900,0,504,-93.62693900000001,150
178900,2,1967,1510,0,1,9680,0,517,-93.62753599999999,500
136300,2,1964,533,0,1,10600,644,480,-93.626785,533
180500,2,1964,1152,227,0,14112,0,484,-93.627809,138
137500,2,1963,936,120,1,8800,0,480,-93.62572800000001,173
84900,0,1962,1728,0,1,13260,0,0,-93.622904,228
142125,1,1950,1078,366,1,9717,0,240,-93.622864,0
197600,2,1952,1140,0,0,9724,532,400,-93.620651,470
172500,2,1949,782,0,0,17360,537,470,-93.620504,482
116500,0,1958,858,117,1,7207,0,0,-93.629287,162
76500,0,1940,728,263,1,5350,0,0,-93.629313,728
128000,1,1954,1056,0,1,9920,0,280,-93.62475,412
153000,1,1955,1156,0,0,9600,0,364,-93.624601,350
132000,1,1954,1268,0,0,7800,0,244,-93.621431,728
178000,1,1966,1080,238,0,11380,0,315,-93.61822099999999,136
154300,2,1960,1105,0,1,11600,1169,480,-93.6184183,662
180000,2,1970,1947,301,0,19900,0,576,-93.614307,1035
190000,2,1966,1517,0,0,16492,0,578,-93.614244,557
135000,2,1958,1604,42,1,8267,0,576,-93.617693,1604
214000,2,2003,1480,252,1,8197,0,620,-93.617553,292
136000,1,1959,1143,0,1,8050,0,308,-93.61711700000001,125
165500,2,1959,1398,0,0,10552,0,447,-93.6177041,380
145000,1,1957,1314,250,1,8400,0,294,-93.618626,392
148000,1,1959,1194,0,1,8760,0,312,-93.616582,1194
142000,2,1959,1188,0,1,12160,0,531,-93.614882,188
167500,2,1960,1268,0,0,9300,0,461,-93.613301,571
108538,1,1959,1206,0,1,10725,0,312,-93.61513000000001,270
159500,2,1959,1244,0,0,10032,0,440,-93.614241,510
108000,1,1956,832,0,1,8382,505,263,-93.613624,832
135000,1,1952,864,0,1,10950,0,318,-93.615622,525
122500,1,1955,972,0,1,10895,0,305,-93.617092,324
119000,1,1958,988,0,1,13587,0,264,-93.61721999999999,456
109000,1,1953,1057,0,1,7922,0,246,-93.61842800000001,326
105000,2,1920,576,0,1,7898,0,676,-93.615475,576
107500,1,1955,0,0,0,7200,0,392,-93.611642,0
144900,2,1954,1086,0,1,10200,0,490,-93.618788,404
129000,1,1956,936,0,1,5868,0,308,-93.61920140000001,448
97500,1,1948,912,192,0,17503,546,330,-93.620341,912
144000,2,1980,1056,264,1,6979,0,576,-93.6116762,0
162000,2,1959,1063,364,0,9830,0,576,-93.607275,733
242000,2,1967,710,240,0,11275,1080,564,-93.606905,710
132000,1,1948,816,414,1,8064,408,280,-93.61061,161
154000,1,1959,1246,218,1,7500,0,305,-93.60596899999999,0
166000,2,1952,910,0,1,8520,475,720,-93.609218,403
134800,2,1951,900,222,1,7200,0,576,-93.607801,180
160000,2,1962,1116,0,1,10000,0,440,-93.60594300000001,1116
148000,2,1960,1175,0,1,7635,0,484,-93.60674200000001,237
192000,2,1963,1395,657,0,9760,0,440,-93.604835,415
155000,2,1966,756,0,0,7700,788,442,-93.603705,756
80400,1,1900,709,84,0,4800,687,240,-93.617014,661
96500,0,1910,576,0,1,8800,348,0,-93.617135,576
109500,0,1920,936,51,0,4485,0,0,-93.62024,357
115000,2,1927,1008,0,0,8960,0,360,-93.62024100000001,1008
143000,2,1957,1347,0,1,5805,0,551,-93.61791120000001,0
107400,1,1915,840,0,1,5790,765,379,-93.614002,840
80000,1,1945,747,0,1,4608,0,220,-93.615431,747
119000,1,1940,788,0,0,7200,0,240,-93.61544599999999,278
130000,2,1929,926,0,1,5500,0,484,-93.608954,0
119000,1,1938,827,0,1,6900,424,240,-93.6090761,827
129000,1,1948,1027,0,0,11851,606,240,-93.610466,247
100000,1,1920,1008,0,1,8239,185,315,-93.61046800000001,832
12789,2,1923,678,0,0,9656,0,780,-93.606789,678
105900,2,1928,624,106,1,8520,0,484,-93.606789,624
150000,1,1900,930,54,1,9600,636,288,-93.616887,930
139000,1,1915,686,0,1,10800,686,416,-93.610588,0
240000,2,1890,346,0,1,9000,1111,624,-93.61221,346
76500,0,1910,840,0,1,9045,1128,0,-93.608878,840
149700,2,1957,912,0,1,7407,0,923,-93.608246,312
125500,2,1910,622,0,1,7740,622,528,-93.607238,622
122500,2,1885,777,0,1,11340,1044,560,-93.608752,777
140750,2,1922,738,0,1,10560,602,624,-93.607088,455
128500,1,1950,988,0,1,5830,582,363,-93.625737,200
209500,1,1922,1108,0,0,7793,908,315,-93.625825,634
87000,1,1925,765,135,1,5000,0,200,-93.625586,577
134000,1,1939,608,0,1,6000,524,240,-93.624566,144
128000,2,1940,572,0,0,6000,348,576,-93.622597,308
132000,1,1942,835,0,0,6360,498,240,-93.62352299999999,316
139900,1,1948,780,221,1,6000,636,312,-93.62244799999999,480
123900,2,1936,528,306,1,6240,492,624,-93.623483,252
138400,2,1930,928,0,0,6240,608,480,-93.621482,480
109500,1,1923,1124,0,0,6120,0,288,-93.620409,164
140000,2,1921,576,12,1,10300,808,480,-93.62338000000001,576
149500,2,1915,888,160,0,8094,1074,572,-93.621674,888
159900,0,1912,780,344,1,12900,780,0,-93.621835,780
122000,1,1920,662,0,1,3068,662,180,-93.62163199999999,662
110000,2,1963,816,106,1,8472,0,516,-93.62949499999999,0
55000,0,1930,0,0,1,5600,720,0,-93.626876,0
140000,2,1900,360,344,0,7630,780,672,-93.620386,360
244400,1,1940,1032,56,0,24090,1196,349,-93.656231,1032
173000,1,1959,1422,0,0,15263,0,365,-93.655538,656
107500,1,1917,689,0,1,10632,499,180,-93.658265,689
100000,0,1915,1212,0,1,9900,180,0,-93.656924,186
95000,1,1940,600,0,1,6001,319,231,-93.65808100000001,232
93369,0,1907,707,0,1,6449,942,0,-93.657573,634
114900,2,1910,856,56,0,6048,744,450,-93.655849,120
94000,0,1875,780,0,1,6342,240,0,-93.672036,780
136000,0,1967,1832,0,1,10773,0,0,-93.671021,1128
136500,0,1968,1768,0,1,10778,0,0,-93.671076,1768
131500,2,1965,1039,0,1,11625,0,504,-93.673401,198
121500,2,1957,1392,0,0,11341,0,528,-93.672381,90
125000,1,1967,912,0,0,8521,0,336,-93.678141,70
154000,1,1968,1060,406,0,8246,0,270,-93.676659,204
137900,1,1966,864,0,1,7800,0,416,-93.677992,150
158000,1,1969,663,379,1,9364,689,299,-93.676654,292
137250,1,1968,864,226,1,7832,0,280,-93.676674,89
160250,2,1978,1319,0,0,7424,0,591,-93.671511,0
163000,2,1968,720,192,0,11227,720,480,-93.673565,0
158900,2,1978,672,335,0,11616,714,440,-93.672523,234
328000,2,1996,1306,296,1,14000,954,533,-93.670503,105
270000,2,1977,1420,496,0,20062,0,690,-93.670114,328
85000,2,1927,660,80,1,9259,0,440,-93.663619,660
128000,2,1950,1067,290,1,9600,0,436,-93.668378,625
260000,2,1979,1332,268,0,23595,192,586,-93.66790400000001,74
230000,2,1978,1117,336,0,17082,864,522,-93.675038,153
124000,1,1938,972,0,0,18600,558,480,-93.671178,0
83000,1,1920,458,0,1,10625,0,366,-93.662762,350
144500,1,1950,663,0,0,11479,0,467,-93.66356999999999,172
129000,1,1956,1144,44,1,9571,0,596,-93.66770799999999,405
127000,1,1947,756,0,0,9350,0,209,-93.66526,564
128000,1,1954,1172,240,1,9525,0,366,-93.666097,218
186000,2,2009,1212,100,1,10420,0,460,-93.66588759999999,1176
308030,2,2009,1508,0,0,17485,0,572,-93.66579899999999,162
114000,2,1964,1250,0,1,11200,0,504,-93.66336700000001,1250
84900,1,1946,0,0,1,11100,0,308,-93.659808,0
178000,2,1985,741,192,0,9206,755,476,-93.685001,741
270000,2,1987,1433,0,0,11980,0,528,-93.685988,0
218000,4,1993,946,450,0,12361,838,1017,-93.683167,86
236000,2,1993,1050,156,0,9938,887,574,-93.68202600000001,300
147000,2,1992,936,120,1,9069,0,564,-93.68015679999999,189
245350,3,2008,1694,160,1,10475,0,776,-93.69019,1694
206000,2,2006,1187,105,1,6762,0,632,-93.69126899999999,501
198900,3,2009,1226,0,1,10402,0,740,-93.69245,1226
187000,2,2010,1222,0,1,7360,0,615,-93.692521,1198
320000,3,1990,1673,367,0,12376,1523,594,-93.68329,203
138500,2,1900,676,0,1,14235,614,484,-93.6801805,676
155000,2,1971,1010,0,1,8816,0,440,-93.682138,506
159000,2,1996,870,71,1,11105,0,580,-93.69188,0
191000,2,1997,878,0,0,9337,800,513,-93.69054200000001,525
200500,2,1998,804,0,1,8750,878,523,-93.68825799999999,299
150000,1,1977,1026,316,1,15240,0,308,-93.68773,140
161750,1,1977,689,0,1,10900,703,299,-93.68780699999999,311
128200,1,1976,894,365,1,10650,0,308,-93.68774499999999,0
127000,2,1972,876,0,1,7480,0,484,-93.683727,396
318000,3,2003,1978,188,0,10389,0,850,-93.687859,296
272000,2,2001,1581,180,0,11423,0,670,-93.685523,223
237000,2,2003,941,192,0,9548,888,613,-93.687764,458
240000,2,1997,1040,331,0,9375,1054,621,-93.680864,1040
224900,2,1998,1649,0,1,12137,0,598,-93.682686,1649
143750,2,2003,848,140,1,4435,0,420,-93.681227,176
143000,2,2004,848,160,1,4426,0,420,-93.6837,186
232000,2,2003,1657,0,0,10635,0,502,-93.687922,315
213000,2,2004,1473,0,1,8400,0,606,-93.684015,761
185500,2,2004,1414,132,1,8773,0,494,-93.68596099999999,1390
84900,1,1945,0,0,1,8777,0,240,-93.6783313,0
155891,1,1954,381,60,1,8842,0,319,-93.677482,381
100000,0,1965,0,0,1,9825,0,0,-93.677553,0
144000,1,1968,1196,257,1,10044,0,336,-93.677545,126
64000,2,1948,744,0,1,11792,328,480,-93.676372,744
125200,1,1975,1008,0,0,6305,0,352,-93.675268,480
107000,2,1976,1029,144,0,7819,0,672,-93.675175,480
90000,0,1958,960,0,1,6410,0,0,-93.6663375,960
140000,2,2003,1121,132,1,8546,0,440,-93.66751,1121
113000,1,1945,735,0,0,8741,689,220,-93.66484100000001,641
80000,1,1941,672,0,1,12180,252,280,-93.660168,324
144500,1,1957,1216,116,0,8562,0,364,-93.66194399999999,833
104000,1,1924,1107,0,0,4853,0,260,-93.655762,974
128000,1,1915,806,0,1,6858,806,216,-93.655653,806
58500,1,1914,864,0,1,8212,0,200,-93.65671800000001,661
127000,1,1924,1026,0,0,5000,665,308,-93.65032099999999,808
126000,2,1939,856,0,0,7890,0,399,-93.65144129999999,618
160000,0,1967,0,0,1,7200,1788,0,-93.6507568,0
100000,0,1931,894,0,0,9839,772,0,-93.64678,894
169000,1,1919,804,272,0,9638,748,336,-93.646683,804
257500,1,1941,1528,0,0,10452,908,312,-93.640041,850
215000,2,1950,1032,0,1,15600,1075,484,-93.639781,657
266500,1,1941,1152,0,0,9042,1152,252,-93.64279300000001,877
335000,2,1959,1902,0,0,17500,0,567,-93.639678,496
203135,2,1994,423,0,1,19645,756,473,-93.645014,80
185000,2,1989,982,141,0,3907,0,598,-93.645701,235
162500,2,1989,1191,112,0,3907,0,531,-93.645729,1115
289000,2,1959,1501,0,0,15602,0,484,-93.641677,254
125500,1,1922,796,0,1,5436,358,240,-93.625291,61
82000,1,1941,480,0,1,8154,0,200,-93.629496,0
110000,1,1921,629,0,1,9140,380,625,-93.626689,321
68400,2,1920,698,30,1,7500,430,528,-93.61527199999999,698
102776,1,1900,859,68,1,8712,319,384,-93.606593,859
55993,2,1952,540,0,1,8712,0,504,-93.608271,540
50138,1,1896,756,0,1,8712,0,330,-93.60775,756
246000,2,2004,1594,128,0,3811,0,525,-93.615993,221
254900,3,1998,1049,0,0,11050,880,741,-93.604947,434
190000,2,1977,1243,375,0,9620,0,473,-93.602823,564
201000,2,2003,1560,100,1,9196,0,573,-93.603972,1560
169900,3,1976,1012,0,1,12328,0,888,-93.600797,473
170000,2,1976,1958,0,1,12760,0,776,-93.602002,1958
160000,2,1948,747,0,0,57200,0,572,-93.657894,60
220000,3,2008,1336,100,0,11896,0,660,-93.649203,1258
179781,2,2009,1214,0,1,9803,0,520,-93.649201,1214
174000,2,2006,384,100,1,9802,700,400,-93.649096,384
269500,3,2009,774,0,0,12003,1194,680,-93.64947099999999,774
214900,2,2002,817,0,0,11316,1070,510,-93.647645,193
202900,2,2002,967,135,1,14191,915,431,-93.646814,967
378500,3,2008,2002,144,0,13214,0,746,-93.652495,2002
169000,2,1965,1068,0,0,15300,0,528,-93.60743000000001,1026
173500,2,2004,1430,0,1,10114,0,624,-93.608372,1430
139000,0,1971,912,128,1,9400,912,0,-93.60762199999999,912
166500,2,1999,1344,328,0,11875,0,686,-93.608223,1344
83500,1,1973,546,120,1,1974,546,286,-93.60359,212
119500,1,1973,945,174,0,2394,0,253,-93.604318,30
85000,1,1976,536,182,1,2592,576,336,-93.604425,175
76000,0,1970,546,200,1,1476,546,0,-93.603435,370
75500,0,1972,630,96,1,1491,0,0,-93.60359,0
88250,0,1970,546,0,1,1900,546,0,-93.60180600000001,546
85500,1,1972,546,0,1,1890,546,286,-93.603398,252
130000,1,1971,864,0,1,6953,0,352,-93.601449,395
157900,1,1962,1188,261,1,26142,0,312,-93.60685600000001,595
149900,2,1984,833,431,1,12887,0,495,-93.6035354,36
159000,2,1985,1216,200,1,7700,1216,616,-93.6030339,1216
136000,2,1991,624,22,1,10475,650,576,-93.60058199999999,166
161000,1,1969,864,287,1,10544,615,275,-93.599791,388
285000,2,1994,1679,129,0,9892,0,482,-93.60000600000001,54
231000,2,1993,1152,162,0,12961,645,616,-93.60014699999999,208
124500,1,1956,882,0,1,13008,0,502,-93.6188955,318
157000,2,1974,1434,80,0,10200,0,528,-93.619562,590
345000,2,1972,1952,269,0,13860,704,538,-93.615524,542
189500,2,1997,945,252,0,10179,663,470,-93.639388,98
270000,3,2003,1008,120,0,11792,1275,632,-93.639915,158
189000,2,1996,384,48,0,8400,670,390,-93.6364,100
377500,3,2006,1746,201,0,14892,0,758,-93.635838,426
168500,2,1995,384,120,0,8530,670,400,-93.63744200000001,384
375000,2,2004,2208,182,0,7296,0,564,-93.634265,243
278000,2,2000,1501,212,0,5664,0,499,-93.633739,343
240000,2,1998,1418,168,1,7380,0,495,-93.633547,1077
239500,2,1995,1587,52,1,8013,0,528,-93.633024,846
177500,2,1998,384,256,0,8923,631,396,-93.63920999999999,195
185000,2,1998,832,0,0,10141,833,427,-93.63906899999999,832
191000,2,1998,952,0,0,7500,684,440,-93.63906899999999,476
178000,2,1993,799,0,0,7837,772,380,-93.636955,799
185000,2,1993,680,232,0,9765,790,420,-93.637046,370
181316,2,1994,707,0,0,8803,809,409,-93.637671,107
166000,2,1993,1181,0,0,7250,0,430,-93.635824,1181
178000,2,1992,808,342,0,9636,785,389,-93.63575300000001,808
174000,2,1994,702,0,0,8125,779,343,-93.636822,702
173000,2,1992,1158,120,1,9248,0,400,-93.63604699999999,598
225000,2,1999,978,0,0,10762,978,490,-93.639325,284
180500,2,1990,1424,0,1,11851,0,500,-93.634644,1424
187500,2,1984,1220,63,0,5814,0,565,-93.633245,184
501837,3,2008,2216,0,0,17423,0,1166,-93.627751,312
372500,3,2008,2046,322,0,11844,0,834,-93.628639,2046
260000,2,2005,1530,168,0,16158,0,430,-93.629357,256
185000,2,1977,1122,0,0,11900,988,567,-93.623975,722
260000,2,1980,845,288,0,13005,1200,484,-93.637343,153
181000,2,1979,1362,192,0,17043,0,435,-93.636512,1362
82500,2,1977,1386,192,0,11900,0,544,-93.635056,564
215000,2,1977,1602,240,0,16635,0,529,-93.632417,356
154000,2,1978,832,192,0,13250,896,529,-93.637774,832
200000,2,1978,1427,252,0,10928,0,484,-93.63745,1064
249000,2,1980,1043,178,0,12388,1134,441,-93.638366,441
187500,2,1980,1372,233,0,14115,0,588,-93.634212,336
184000,2,1978,1140,0,0,11088,0,479,-93.637043,308
278000,2,1981,2524,474,0,9600,0,542,-93.63379599999999,1420
157000,2,1978,1271,0,0,11880,0,478,-93.637289,567
152000,2,1976,1090,0,0,10400,0,479,-93.634694,1090
197500,2,1976,780,448,0,10304,780,484,-93.635919,399
240900,2,2003,926,0,0,7000,868,581,-93.639516,304
263435,2,2009,832,0,1,8004,1103,552,-93.639511,288
220000,2,2000,1058,0,0,7500,816,588,-93.63923079999999,1058
235000,2,2002,972,225,0,8470,839,565,-93.63936600000001,471
213000,2,1975,1621,0,0,9373,0,478,-93.632915,120
167900,2,1974,1116,0,0,10140,0,528,-93.632178,228
158000,2,1975,1176,40,0,11050,0,506,-93.630253,540
165000,2,1974,1064,0,0,10140,0,478,-93.63143199999999,1064
158000,2,1972,689,0,0,10448,741,583,-93.631791,689
136000,0,1974,896,32,1,9000,896,0,-93.625856,896
148500,2,1970,1002,0,1,8750,0,902,-93.626554,174
156000,2,1969,1026,171,1,7930,0,440,-93.62870699999999,115
128000,2,1970,1180,0,1,7830,0,477,-93.626603,1180
143000,1,1971,1043,0,1,8510,0,336,-93.62655,543
76500,2,1970,864,210,1,7038,0,576,-93.627037,138
120500,2,1970,864,96,1,6960,0,660,-93.62565699999999,250
124500,2,1970,864,0,1,8120,0,463,-93.62554200000001,673
97000,2,1971,864,216,1,10500,0,576,-93.62349859999999,160
130000,2,1971,864,200,1,9000,0,576,-93.62232890000001,624
111000,1,1973,483,0,1,1680,504,264,-93.62739599999999,229
125000,2,1970,765,0,1,2368,600,440,-93.628119,0
112000,1,1971,630,0,1,1680,672,280,-93.627565,630
97000,1,1972,483,0,1,1680,504,288,-93.629456,79
118000,1,1972,483,250,1,1680,504,264,-93.629851,321
119500,1,1972,630,185,1,1680,672,264,-93.62988100000001,399
143750,2,1976,958,0,1,4928,0,440,-93.62724399999999,0
146000,2,1976,804,108,0,2308,744,440,-93.624729,498
148500,2,1976,855,87,0,2280,601,440,-93.624748,289
123000,2,1975,1057,0,0,2280,0,440,-93.625945,0
147000,2,1974,855,260,0,2308,467,440,-93.625918,103
137900,2,1977,855,0,0,2349,601,440,-93.625846,466
147000,2,1978,804,108,0,2364,744,440,-93.625688,484
148500,2,1978,855,28,0,2289,586,440,-93.62569,544
138000,2,1978,855,147,0,2364,601,440,-93.62569599999999,576
128500,1,1976,836,150,1,2104,0,345,-93.62570699999999,300
100000,1,1967,892,0,1,7150,0,288,-93.62560359999999,460
148800,2,1966,864,0,0,10710,0,656,-93.626521,220
337500,3,2006,1700,216,0,12456,0,786,-93.658877,528
462000,3,2007,1776,135,0,14257,978,754,-93.65627490000001,416
485000,3,2008,1926,144,0,13518,1174,820,-93.652716,1926
555000,3,2008,3094,0,0,15431,0,672,-93.65782800000001,788
325000,2,2006,1652,404,0,13173,0,840,-93.657483,80
256300,3,2007,1566,0,0,14230,0,890,-93.654241,1566
253293,3,2008,2042,0,0,12704,0,1390,-93.65414399999999,2042
398800,3,2009,1365,0,0,12350,1325,864,-93.65395500000001,379
335000,3,2008,1104,0,0,11308,1054,836,-93.652863,168
404000,3,2008,2020,192,0,12350,0,896,-93.654439,788
402861,3,2009,2006,156,0,12220,0,900,-93.654567,570
451950,3,2008,1722,382,0,13478,568,842,-93.658224,384
610000,3,2007,2630,360,0,13693,0,762,-93.65783499999999,342
582933,3,2008,1734,52,0,13891,1088,1020,-93.657049,1734
360000,3,2008,1736,319,0,11578,0,834,-93.654437,1736
296000,3,2004,1782,99,0,16870,0,932,-93.658854,251
409900,3,2007,1508,192,0,23303,1012,640,-93.65673699999999,278
255500,3,2006,1709,169,0,11146,0,908,-93.653152,1709
335000,3,2008,1739,168,0,10367,0,927,-93.652884,724
274900,3,2004,1713,0,0,9591,0,856,-93.654724,625
300000,3,2006,1504,184,0,10872,0,700,-93.65476,467
324000,3,2008,1774,200,0,13514,0,850,-93.652084,632
350000,3,2004,1462,184,0,8834,762,738,-93.654652,292
280000,3,2004,1836,125,0,11362,0,862,-93.65272399999999,797
284000,3,2003,3206,0,0,10655,0,880,-93.6541267,1603
269500,2,2003,1760,165,0,12878,0,583,-93.6547754,498
233170,2,2009,1502,0,1,9541,0,644,-93.643771,1502
386250,3,2003,2392,248,0,13472,0,968,-93.65604,2336
445000,3,2003,2452,0,0,15274,0,886,-93.65486,480
290000,3,2003,1082,114,0,13262,1295,730,-93.6545189,1082
255900,3,2006,1598,230,0,9658,0,871,-93.65048,1598
213000,2,2005,1358,192,0,6904,0,484,-93.64977900000001,522
